EmployeeID,Churn
1,Yes
2,No
3,No
4,No
5,No
6,No
7,No
8,No
9,No
10,Yes
11,No
12,Yes
13,No
14,No
15,Yes
16,No
17,No
18,No
19,No
20,No
21,No
22,No
23,No
24,No
25,No
26,No
27,No
28,No
29,No
30,No
31,No
32,No
33,No
34,No
35,Yes
36,No
37,Yes
38,No
39,Yes
40,No
41,No
42,No
43,No
44,No
45,No
46,No
47,No
48,No
49,No
50,No
51,No
52,No
53,No
54,No
55,No
56,No
57,No
58,No
59,No
60,No
61,No
62,Yes
63,No
64,No
65,No
66,No
67,No
68,No
69,No
70,No
71,No
72,No
73,No
74,No
75,No
76,No
77,No
78,No
79,Yes
80,No
81,No
82,No
83,No
84,No
85,No
86,No
87,No
88,No
89,No
90,No
91,No
92,No
93,No
94,No
95,No
96,No
97,No
98,No
99,No
100,No
101,Yes
102,No
103,No
104,No
105,No
106,No
107,No
108,No
109,No
110,No
111,No
112,No
113,No
114,Yes
115,No
116,No
117,No
118,No
119,No
120,No
121,No
122,No
123,No
124,No
125,Yes
126,No
127,No
128,No
129,No
130,No
131,Yes
132,No
133,No
134,No
135,No
136,No
137,No
138,No
139,No
140,No
141,No
142,No
143,No
144,No
145,No
146,No
147,No
148,No
149,No
150,No
151,Yes
152,No
153,No
154,No
155,No
156,No
157,No
158,No
159,No
160,Yes
161,No
162,No
163,No
164,Yes
165,No
166,No
167,No
168,No
169,No
170,No
171,No
172,No
173,No
174,No
175,No
176,No
177,No
178,No
179,No
180,No
181,No
182,No
183,No
184,No
185,No
186,No
187,No
188,No
189,Yes
190,No
191,No
192,No
193,No
194,No
195,Yes
196,No
197,No
198,No
199,No
200,No
201,No
202,No
203,No
204,No
205,No
206,No
207,No
208,No
209,No
210,No
211,No
212,No
213,No
214,No
215,No
216,No
217,No
218,No
219,No
220,No
221,No
222,No
223,No
224,No
225,No
226,No
227,No
228,No
229,No
230,No
231,No
232,Yes
233,No
234,No
235,No
236,No
237,No
238,No
239,No
240,No
241,Yes
242,No
243,No
244,No
245,No
246,No
247,No
248,No
249,Yes
250,No
251,No
252,No
253,No
254,No
255,No
256,No
257,No
258,No
259,No
260,No
261,Yes
262,No
263,No
264,No
265,Yes
266,No
267,No
268,No
269,No
270,No
271,No
272,No
273,No
274,No
275,No
276,No
277,No
278,No
279,No
280,No
281,No
282,No
283,No
284,No
285,No
286,No
287,No
288,Yes
289,No
290,No
291,No
292,No
293,Yes
294,No
295,No
296,Yes
297,No
298,No
299,No
300,No
301,No
302,No
303,Yes
304,Yes
305,No
306,No
307,No
308,No
309,No
310,No
311,No
312,No
313,No
314,No
315,Yes
316,No
317,Yes
318,No
319,No
320,Yes
321,No
322,Yes
323,No
324,No
325,Yes
326,No
327,No
328,No
329,No
330,Yes
331,No
332,No
333,No
334,No
335,No
336,No
337,No
338,No
339,No
340,No
341,No
342,No
343,No
344,No
345,No
346,No
347,No
348,Yes
349,No
350,Yes
351,No
352,No
353,No
354,No
355,No
356,No
357,No
358,No
359,Yes
360,No
361,No
362,No
363,No
364,Yes
365,No
366,No
367,No
368,No
369,No
370,No
371,No
372,No
373,No
374,No
375,Yes
376,Yes
377,No
378,No
379,No
380,No
381,No
382,Yes
383,No
384,No
385,No
386,No
387,No
388,No
389,No
390,No
391,No
392,No
393,No
394,No
395,No
396,No
397,Yes
398,Yes
399,No
400,No
401,No
402,No
403,No
404,No
405,No
406,No
407,No
408,No
409,No
410,No
411,No
412,No
413,No
414,No
415,No
416,No
417,No
418,No
419,No
420,No
421,No
422,No
423,No
424,No
425,No
426,No
427,Yes
428,No
429,No
430,No
431,No
432,No
433,Yes
434,No
435,No
436,No
437,No
438,Yes
439,No
440,No
441,No
442,No
443,No
444,No
445,No
446,No
447,No
448,No
449,No
450,No
451,No
452,No
453,No
454,No
455,No
456,No
457,No
458,No
459,No
460,No
461,Yes
462,No
463,No
464,No
465,Yes
466,No
467,No
468,No
469,Yes
470,No
471,No
472,No
473,No
474,No
475,No
476,No
477,No
478,No
479,No
480,No
481,No
482,No
483,No
484,No
485,Yes
486,No
487,No
488,No
489,No
490,No
491,No
492,No
493,No
494,No
495,No
496,No
497,Yes
498,No
499,No
500,No
501,No
502,No
503,No
504,No
505,No
506,No
507,Yes
508,No
509,No
510,Yes
511,Yes
512,No
513,No
514,No
515,No
516,No
517,No
518,No
519,No
520,No
521,No
522,No
523,Yes
524,No
525,No
526,No
527,No
528,No
529,No
530,No
531,No
532,No
533,No
534,Yes
535,No
536,No
537,No
538,No
539,No
540,No
541,No
542,No
543,No
544,No
545,No
546,No
547,No
548,No
549,No
550,Yes
551,No
552,No
553,No
554,No
555,No
556,No
557,No
558,Yes
559,Yes
560,No
561,No
562,No
563,No
564,No
565,Yes
566,No
567,No
568,Yes
569,No
570,No
571,No
572,No
573,Yes
574,No
575,No
576,No
577,No
578,No
579,No
580,No
581,No
582,No
583,No
584,Yes
585,No
586,No
587,No
588,No
589,No
590,No
591,Yes
592,No
593,Yes
594,No
595,No
596,No
597,No
598,No
599,No
600,No
601,No
602,No
603,No
604,No
605,No
606,Yes
607,No
608,No
609,No
610,No
611,No
612,No
613,No
614,No
615,No
616,No
617,No
618,No
619,Yes
620,No
621,No
622,No
623,No
624,Yes
625,No
626,No
627,Yes
628,Yes
629,No
630,No
631,No
632,No
633,No
634,No
635,Yes
636,Yes
637,No
638,No
639,No
640,No
641,No
642,No
643,Yes
644,No
645,No
646,No
647,No
648,No
649,No
650,No
651,No
652,No
653,No
654,No
655,No
656,No
657,No
658,No
659,No
660,No
661,No
662,No
663,Yes
664,No
665,No
666,No
667,No
668,No
669,No
670,No
671,No
672,No
673,No
674,No
675,No
676,No
677,No
678,No
679,No
680,No
681,No
682,No
683,No
684,No
685,No
686,No
687,No
688,No
689,No
690,No
691,No
692,Yes
693,No
694,No
695,No
696,No
697,Yes
698,No
699,No
700,No
701,No
702,No
703,No
704,No
705,No
706,No
707,No
708,Yes
709,No
710,Yes
711,No
712,No
713,No
714,No
715,No
716,No
717,No
718,No
719,No
720,No
721,No
722,No
723,Yes
724,No
725,Yes
726,Yes
727,No
728,No
729,No
730,No
731,No
732,No
733,No
734,No
735,No
736,No
737,No
738,No
739,No
740,No
741,No
742,Yes
743,No
744,No
745,No
746,No
747,No
748,No
749,No
750,No
751,No
752,No
753,No
754,Yes
755,No
756,No
757,No
758,No
759,No
760,No
761,No
762,No
763,No
764,No
765,No
766,Yes
767,Yes
768,No
769,No
770,No
771,No
772,No
773,No
774,No
775,No
776,No
777,No
778,No
779,No
780,No
781,No
782,No
783,No
784,No
785,No
786,No
787,No
788,No
789,No
790,No
791,No
792,No
793,No
794,Yes
795,No
796,No
797,No
798,No
799,No
800,No
801,No
802,No
803,Yes
804,No
805,No
806,No
807,No
808,No
809,No
810,No
811,Yes
812,Yes
813,No
814,No
815,No
816,No
817,No
818,No
819,No
820,No
821,No
822,No
823,No
824,No
825,No
826,No
827,Yes
828,No
829,No
830,No
831,No
832,Yes
833,No
834,No
835,No
836,Yes
837,No
838,No
839,No
840,No
841,No
842,No
843,No
844,No
845,No
846,Yes
847,No
848,No
849,No
850,No
851,No
852,No
853,No
854,No
855,No
856,No
857,No
858,No
859,No
860,No
861,Yes
862,No
863,Yes
864,No
865,No
866,No
867,No
868,No
869,No
870,No
871,Yes
872,No
873,No
874,No
875,No
876,No
877,No
878,No
879,No
880,No
881,No
882,No
883,No
884,No
885,No
886,No
887,No
888,No
889,No
890,No
891,Yes
892,No
893,Yes
894,No
895,No
896,No
897,No
898,No
899,No
900,No
901,Yes
902,No
903,No
904,Yes
905,No
906,No
907,No
908,Yes
909,No
910,No
911,No
912,No
913,No
914,No
915,No
916,No
917,No
918,No
919,No
920,No
921,Yes
922,Yes
923,Yes
924,No
925,Yes
926,No
927,No
928,No
929,Yes
930,No
931,No
932,No
933,No
934,No
935,No
936,No
937,No
938,No
939,No
940,No
941,No
942,Yes
943,No
944,No
945,No
946,No
947,No
948,No
949,Yes
950,No
951,No
