EmployeeID	FacilitiesSatisfaction	RoleSatisfaction	HierarchySatisfaction	BalanceWork&Life
1	4	4	4	Medium
2	4	3	3	Medium
3	4	1	3	Good
4	3	4	3	Good
5	3	1	1	Great
6	3	3	1	Good
7	1	3	4	Great
8	4	2	4	Good
9	3	2	2	Good
10	3	4	2	Good
11	1	2	3	Good
12	1	4	4	Good
13	3	4	4	Good
14	4	3	3	Good
15	4	2	4	Good
16	1	1	4	Good
17	2	3	3	Good
18	1	1	4	Bad
19	4	2	1	Medium
20	2	3	4	Medium
21	2	3	2	Good
22	3	4	3	Medium
23	1	2	3	Medium
24	3	1	1	Good
25	4	1	2	Bad
26	1	4	3	Good
27	3	4	4	Great
28	1	2	3	Good
29	3	1	4	Medium
30	2	1	3	Good
31	3	2	4	Good
32	3	4	3	Good
33	1	1	1	Good
34	2	4	2	Medium
35	1	2	1	Good
36	3	3	4	Medium
37	3	3	3	Bad
38	1	4	4	Good
39	2	3	4	Good
40	3	2	4	Medium
41	3	4	4	Good
42	4	2	2	Good
43	4	3	2	Good
44	4	3	4	Medium
45	4	1	4	Good
46	2	2	3	Good
47	2	4	4	Medium
48	3	3	4	Great
49	3	2	3	Good
50	4	2	4	Good
51	4	4	2	Good
52	1	3	1	Medium
53	1	1	4	Medium
54	1	3	4	Good
55	3	1	4	Good
56	3	4	1	Good
57	2	3	3	Good
58	2	4	2	Medium
59	4	4	3	Good
60	2	3	2	Good
61	4	1	3	Good
62	3	1	2	Medium
63	4	4	4	Great
64	3	4	4	Good
65	4	2	3	Good
66	2	2	2	Medium
67	1	3	3	Good
68	2	2	1	Good
69	4	3	2	Good
70	1	4	4	Good
71	3	4	2	Good
72	2	3	3	Good
73	3	2	4	Great
74	3	3	4	Good
75	2	3	3	Good
76	4	3	3	Good
77	4	3	1	Good
78	1	3	3	Medium
79	2	1	4	Good
80	3	3	1	Great
81	4	4	2	Good
82	3	3	4	Medium
83	1	3	1	Bad
84	3	1	3	Good
85	4	4	4	Medium
86	1	3	2	Great
87	4	1	3	Great
88	4	4	3	Bad
89	4	2	3	Good
90	2	1	1	Good
91	4	3	4	Good
92	1	2	3	Good
93	2	4	1	Medium
94	4	4	4	Good
95	3	3	4	Good
96	3	3	3	Great
97	3	3	1	Medium
98	3	2	4	Good
99	3	2	1	Good
100	4	3	4	Good
101	1	3	3	Medium
102	4	2	1	Good
103	1	1	4	Good
104	1	1	1	Good
105	3	4	1	Medium
106	4	1	3	Medium
107	3	1	4	Great
108	2	1	2	Good
109	4	1	3	Good
110	2	4	4	Medium
111	4	1	3	Good
112	1	3	2	Great
113	4	3	1	Good
114	1	4	4	Good
115	2	3	3	Medium
116	1	3	4	Good
117	2	3	1	Good
118	3	3	2	Good
119	2	2	3	Bad
120	4	4	3	Good
121	4	4	2	Good
122	2	4	2	Good
123	4	3	2	Good
124	3	3	3	Great
125	3	1	3	Good
126	1	3	2	Good
127	1	3	3	Good
128	1	3	3	Medium
129	3	2	4	Good
130	3	4	1	Medium
131	3	4	1	Good
132	3	3	3	Medium
133	4	1	1	Good
134	3	2	4	Good
135	2	1	4	Good
136	2	2	4	Medium
137	1	3	4	Good
138	3	4	1	Good
139	1	4	3	Good
140	3	1	2	Good
141	3	1	3	Medium
142	4	3	3	Great
143	4	4	3	Good
144	1	1	4	Good
145	4	1	2	Good
146	3	3	2	Good
147	2	4	4	Medium
148	3	2	1	Good
149	2	3	4	Good
150	1	1	4	Medium
151	1	2	3	Great
152	2	3	2	Good
153	3	3	2	Good
154	2	4	3	Great
155	4	3	3	Good
156	3	4	2	Good
157	4	2	1	Good
158	4	4	1	Medium
159	3	3	4	Medium
160	4	4	3	Medium
161	4	4	4	Good
162	4	1	4	Great
163	3	3	3	Good
164	1	3	3	Bad
165	4	4	2	Medium
166	4	4	2	Medium
167	1	4	2	Good
168	3	4	4	Great
169	2	1	4	Medium
170	2	4	1	Good
171	3	3	4	Good
172	4	1	3	Good
173	3	3	1	Good
174	2	2	4	Good
175	1	4	1	Medium
176	3	4	3	Good
177	2	4	4	Good
178	1	1	3	Medium
179	4	2	4	Great
180	4	3	3	Medium
181	3	2	4	Good
182	1	4	1	Good
183	2	1	2	Bad
184	2	3	1	Good
185	3	2	4	Great
186	3	4	3	Bad
187	3	3	4	Great
188	4	2	1	Good
189	1	3	2	Good
190	4	1	3	Good
191	3	4	2	Medium
192	1	4	1	Good
193	4	1	4	Good
194	3	2	4	Great
195	4	1	3	Good
196	4	4	4	Great
197	3	4	3	Medium
198	3	1	2	Great
199	3	2	1	Bad
200	3	3	1	Medium
201	1	2	3	Good
202	3	4	4	Good
203	3	4	1	Medium
204	3	1	3	Good
205	4	4	3	Good
206	4	3	4	Good
207	4	4	3	Good
208	1	3	4	Good
209	2	3	2	Good
210	1	4	3	Good
211	2	3	1	Medium
212	1	4	1	Good
213	4	1	4	Good
214	4	2	3	Medium
215	3	4	4	Good
216	3	4	1	Good
217	3	2	2	Medium
218	2	3	1	Good
219	3	1	4	Good
220	3	4	4	Bad
221	3	3	3	Good
222	2	4	4	Good
223	4	1	2	Good
224	3	2	3	Medium
225	3	4	2	Good
226	3	4	3	Medium
227	3	4	3	Medium
228	2	3	3	Good
229	3	3	3	Good
230	1	4	4	Good
231	1	4	1	Good
232	4	1	1	Bad
233	2	4	2	Good
234	4	2	1	Good
235	3	2	3	Medium
236	4	2	3	Good
237	3	2	3	Great
238	4	2	4	Bad
239	2	3	2	Good
240	4	2	3	Good
241	4	4	1	Great
242	4	2	4	Medium
243	1	2	4	Good
244	4	4	2	Great
245	3	3	3	Great
246	2	2	3	Good
247	3	2	4	Good
248	2	1	3	Good
249	2	1	2	Good
250	4	3	1	Good
251	4	4	4	Good
252	2	2	2	Good
253	4	4	3	Medium
254	3	4	4	Bad
255	3	1	3	Medium
256	1	3	3	Medium
257	3	2	1	Good
258	4	3	1	Good
259	2	4	3	Good
260	4	3	3	Medium
261	2	4	4	Medium
262	2	2	4	Bad
263	2	4	3	Good
264	3	3	1	Great
265	1	2	4	Medium
266	1	2	1	Medium
267	2	4	1	Medium
268	2	4	4	Good
269	1	2	3	Good
270	4	2	2	Good
271	4	4	4	Good
272	3	3	1	Good
273	4	4	1	Good
274	4	3	3	Good
275	2	3	2	Good
276	2	1	3	Good
277	3	1	4	Good
278	3	3	3	Medium
279	2	3	3	Good
280	2	4	4	Medium
281	1	2	4	Good
282	4	1	4	Medium
283	4	4	4	Good
284	4	1	2	Good
285	3	4	2	Good
286	2	4	4	Medium
287	3	3	3	Good
288	1	1	1	Good
289	2	4	4	Good
290	4	4	4	Medium
291	3	4	3	Medium
292	1	4	4	Good
293	4	4	3	Medium
294	1	1	2	Good
295	3	3	3	Good
296	4	2	1	Medium
297	2	2	4	Good
298	1	2	4	Good
299	4	4	4	Bad
300	4	4	2	Good
301	4	3	4	Good
302	3	3	3	Good
303	1	3	3	Great
304	2	1	1	Medium
305	2	3	3	Good
306	2	4	3	Medium
307	3	3	1	Good
308	2	4	1	Good
309	2	3	1	Medium
310	3	3	1	Medium
311	1	4	4	Good
312	4	4	1	Good
313	3	1	2	Good
314	3	2	4	Great
315	1	4	4	Good
316	3	4	3	Great
317	4	3	1	Good
318	4	3	1	Medium
319	3	1	4	Great
320	3	1	4	Medium
321	4	4	3	Good
322	4	3	4	Medium
323	2	1	1	Medium
324	1	4	3	Medium
325	3	2	1	Good
326	3	3	3	Good
327	4	3	4	Good
328	1	4	1	Good
329	1	2	1	Good
330	2	1	4	Good
331	2	1	4	Good
332	2	3	4	Medium
333	3	1	1	Good
334	1	1	1	Good
335	3	3	4	Good
336	4	4	1	Good
337	1	4	3	Good
338	2	3	3	Good
339	1	2	2	Medium
340	1	4	1	Good
341	2	4	2	Good
342	4	4	1	Good
343	4	3	2	Good
344	3	2	4	Good
345	2	4	2	Medium
346	3	4	2	Medium
347	3	2	3	Medium
348	3	4	4	Good
349	4	1	2	Good
350	4	1	2	Bad
351	2	3	3	Good
352	2	3	1	Good
353	2	3	1	Good
354	2	4	4	Medium
355	2	3	2	Medium
356	1	1	4	Good
357	4	1	2	Good
358	3	4	4	Good
359	1	4	3	Good
360	1	3	2	Good
361	3	2	1	Good
362	4	3	1	Great
363	2	3	2	Good
364	4	3	4	Bad
